"","Attrition","BusinessTravel","Department","EducationField","Gender","JobRole","MaritalStatus","OverTime","Age_Group","DRate_Group","DistanceFromHome_Group","Education_Group","EmployeeNumber_Group","EnvironmentSat_Group","HourlyRate_Group","JobInvolvement_Group","JobLevel_Group","JobSatisfaction_Group","MonthlyIncome_Group","MonthlyRate_Group","NumCompaniesWorked_Group","PercentSalaryHike_Group","PerformanceRating_Group","RelationshipSatisfaction_Group","StockOptionLevel_Group","TotalWorkingYears_Group","TrainingTimesLastYear_Group","WorkLifeBalance_Group","YearsAtCompany_Group","YearsInCurrentRole_Group","YearsSinceLastPromotion_Group","YearsWithCurrManager_Group"
"281","Yes","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Single","Yes","elder","high","short","2","low","unsatisfactory","high","3","2","satisfactory","medium","high","large","[11,12)","3","1","0","[6,10)","[0,2)","1","[5,9)","[3,7)","[0,1)","[3,7)"
"282","No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Married","Yes","mid","high","long","4","medium","satisfactory","high","3","2","unsatisfactory","high","high","large","[14,18)","3","4","3","[13,28]","[2,3)","3","[5,9)","[7,18]","[1,15]","[7,14]"
"283","No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Divorced","Yes","young","low","long","1","low","satisfactory","low","2","2","unsatisfactory","high","medium","medium","[14,18)","3","1","2","[6,10)","[2,3)","3","[5,9)","[7,18]","[1,15]","[7,14]"
"284","No","Travel_Rarely","Research & Development","Technical Degree","Female","Manufacturing Director","Married","No","elder","high","long","3","medium","satisfactory","medium","3","3","satisfactory","high","medium","large","[11,12)","3","3","1","[13,28]","[2,3)","3","[9,40]","[7,18]","[0,1)","[7,14]"
"285","No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Married","No","young","medium","short","1","low","unsatisfactory","low","3","1","unsatisfactory","low","medium","large","[12,14)","3","4","1","[6,10)","[3,6]","3","[0,3)","[2,3)","[1,15]","[2,3)"
"286","No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Married","Yes","young","medium","short","1","low","satisfactory","medium","2","2","satisfactory","medium","medium","medium","[12,14)","3","3","2","[10,13)","[0,2)","2","[9,40]","[7,18]","[1,15]","[0,2)"
"287","No","Travel_Frequently","Sales","Life Sciences","Male","Sales Executive","Single","No","young","low","short","2","low","unsatisfactory","low","3","2","satisfactory","medium","high","medium","[18,25]","3","1","0","[10,13)","[3,6]","2","[9,40]","[7,18]","[0,1)","[7,14]"
"288","No","Travel_Rarely","Research & Development","Medical","Male","Research Director","Single","No","mid","low","medium","4","low","unsatisfactory","low","3","3","satisfactory","high","high","large","[12,14)","3","1","0","[13,28]","[3,6]","4","[5,9)","[2,3)","[0,1)","[2,3)"
"289","No","Travel_Rarely","Sales","Life Sciences","Male","Manager","Single","No","elder","low","short","4","high","satisfactory","medium","4","4","unsatisfactory","high","low","medium","[14,18)","3","2","0","[13,28]","[3,6]","1","[9,40]","[0,2)","[0,1)","[7,14]"
"290","No","Non-Travel","Research & Development","Life Sciences","Female","Healthcare Representative","Divorced","No","mid","high","short","4","medium","satisfactory","medium","3","2","unsatisfactory","medium","low","medium","[11,12)","3","1","1","[13,28]","[2,3)","4","[0,3)","[0,2)","[0,1)","[0,2)"
"291","No","Travel_Frequently","Research & Development","Life Sciences","Male","Manufacturing Director","Married","No","mid","low","medium","4","high","unsatisfactory","medium","2","2","satisfactory","medium","medium","medium","[11,12)","3","4","1","[10,13)","[0,2)","3","[5,9)","[3,7)","[1,15]","[7,14]"
"292","No","Travel_Frequently","Research & Development","Life Sciences","Male","Research Scientist","Divorced","No","young","medium","medium","4","medium","unsatisfactory","medium","2","1","satisfactory","medium","low","large","[12,14)","3","2","1","[10,13)","[3,6]","2","[5,9)","[3,7)","[0,1)","[3,7)"
"293","No","Travel_Frequently","Research & Development","Technical Degree","Female","Laboratory Technician","Married","No","elder","medium","long","3","high","satisfactory","medium","3","2","satisfactory","medium","high","medium","[11,12)","3","1","1","[10,13)","[2,3)","4","[9,40]","[7,18]","[1,15]","[3,7)"
"294","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Divorced","Yes","young","low","short","4","low","satisfactory","low","3","1","satisfactory","low","low","small","[18,25]","3","2","1","[0,6)","[2,3)","1","[0,3)","[2,3)","[1,15]","[2,3)"
"295","No","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Single","No","mid","low","short","2","high","satisfactory","low","1","2","satisfactory","medium","high","large","[12,14)","3","1","0","[6,10)","[3,6]","3","[0,3)","[2,3)","[1,15]","[2,3)"
"296","No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","Married","No","young","high","short","2","medium","satisfactory","low","2","2","satisfactory","medium","high","large","[18,25]","4","1","2","[0,6)","[2,3)","1","[0,3)","[2,3)","[1,15]","[2,3)"
"297","No","Travel_Frequently","Sales","Marketing","Female","Sales Executive","Married","No","mid","medium","medium","3","medium","unsatisfactory","high","4","2","unsatisfactory","medium","low","medium","[14,18)","3","4","1","[13,28]","[2,3)","2","[9,40]","[7,18]","[1,15]","[7,14]"
"298","No","Travel_Rarely","Human Resources","Human Resources","Male","Human Resources","Married","No","mid","low","short","3","medium","satisfactory","low","4","1","satisfactory","low","low","medium","[12,14)","3","4","1","[6,10)","[2,3)","4","[5,9)","[3,7)","[1,15]","[0,2)"
"299","No","Non-Travel","Research & Development","Technical Degree","Male","Laboratory Technician","Single","No","mid","high","medium","2","high","satisfactory","high","4","1","satisfactory","low","high","small","[14,18)","3","1","0","[6,10)","[2,3)","1","[5,9)","[3,7)","[1,15]","[3,7)"
"300","No","Non-Travel","Research & Development","Medical","Male","Manager","Single","No","elder","high","short","4","medium","unsatisfactory","low","4","4","satisfactory","high","medium","medium","[18,25]","4","3","0","[13,28]","[3,6]","2","[5,9)","[3,7)","[1,15]","[0,2)"
"301","Yes","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Single","Yes","young","medium","long","1","low","satisfactory","high","2","1","satisfactory","low","medium","medium","[12,14)","3","3","0","[0,6)","[3,6]","2","[3,5)","[3,7)","[0,1)","[0,2)"
"302","Yes","Travel_Frequently","Human Resources","Human Resources","Female","Human Resources","Married","No","young","high","long","3","high","unsatisfactory","medium","2","1","unsatisfactory","low","high","medium","[12,14)","3","1","0","[0,6)","[2,3)","3","[0,3)","[0,2)","[0,1)","[0,2)"
"303","No","Travel_Rarely","Sales","Technical Degree","Female","Sales Executive","Divorced","No","elder","low","long","3","medium","unsatisfactory","high","2","2","unsatisfactory","high","medium","large","[12,14)","3","2","1","[6,10)","[2,3)","4","[5,9)","[0,2)","[1,15]","[3,7)"
"304","No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Single","No","mid","high","short","3","low","unsatisfactory","low","2","1","satisfactory","low","high","medium","[18,25]","3","1","0","[6,10)","[3,6]","3","[5,9)","[3,7)","[0,1)","[3,7)"
"305","No","Non-Travel","Research & Development","Life Sciences","Male","Manufacturing Director","Single","No","mid","low","long","4","medium","unsatisfactory","high","3","2","satisfactory","high","high","medium","[18,25]","4","1","0","[13,28]","[0,2)","3","[9,40]","[7,18]","[0,1)","[7,14]"
"306","No","Travel_Rarely","Research & Development","Life Sciences","Male","Healthcare Representative","Married","No","young","low","long","3","high","satisfactory","medium","4","2","satisfactory","medium","low","large","[14,18)","3","3","1","[10,13)","[3,6]","3","[5,9)","[0,2)","[1,15]","[7,14]"
"307","No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Divorced","No","young","high","long","3","low","unsatisfactory","high","3","1","satisfactory","low","low","medium","[18,25]","4","2","2","[0,6)","[3,6]","1","[3,5)","[2,3)","[0,1)","[2,3)"
"308","No","Travel_Rarely","Research & Development","Medical","Female","Healthcare Representative","Divorced","Yes","mid","medium","long","4","medium","satisfactory","medium","3","3","satisfactory","high","low","medium","[11,12)","3","3","1","[13,28]","[3,6]","2","[9,40]","[7,18]","[1,15]","[0,2)"
"309","No","Non-Travel","Sales","Life Sciences","Female","Sales Executive","Divorced","Yes","young","medium","short","4","medium","satisfactory","medium","3","3","satisfactory","high","low","medium","[18,25]","3","1","1","[10,13)","[3,6]","2","[9,40]","[7,18]","[1,15]","[3,7)"
"310","No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Married","Yes","mid","high","long","4","high","satisfactory","low","3","1","satisfactory","low","high","large","[11,12)","3","3","1","[0,6)","[3,6]","3","[0,3)","[2,3)","[1,15]","[2,3)"
"311","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Divorced","Yes","mid","low","long","5","medium","satisfactory","high","4","3","satisfactory","high","high","small","[14,18)","3","4","2","[10,13)","[3,6]","3","[9,40]","[7,18]","[0,1)","[7,14]"
"312","No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Divorced","Yes","elder","medium","medium","3","low","satisfactory","medium","3","1","unsatisfactory","medium","medium","large","[18,25]","3","3","1","[13,28]","[3,6]","3","[0,3)","[2,3)","[1,15]","[2,3)"
"313","Yes","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Single","Yes","elder","high","medium","3","high","unsatisfactory","medium","3","1","unsatisfactory","low","low","large","[14,18)","3","2","0","[10,13)","[3,6]","1","[3,5)","[2,3)","[0,1)","[3,7)"
"314","No","Travel_Frequently","Sales","Life Sciences","Male","Sales Executive","Single","No","young","medium","medium","3","low","satisfactory","low","3","3","satisfactory","high","low","medium","[14,18)","3","4","0","[6,10)","[0,2)","3","[9,40]","[7,18]","[1,15]","[7,14]"
"315","No","Travel_Rarely","Research & Development","Medical","Male","Manufacturing Director","Divorced","No","mid","high","medium","2","low","satisfactory","medium","3","2","satisfactory","medium","high","large","[14,18)","3","3","2","[6,10)","[2,3)","2","[5,9)","[2,3)","[0,1)","[3,7)"
"316","Yes","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Divorced","No","mid","medium","long","1","low","unsatisfactory","low","1","1","satisfactory","low","low","large","[12,14)","3","1","3","[6,10)","[2,3)","3","[3,5)","[3,7)","[1,15]","[3,7)"
"317","No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Single","No","elder","high","long","3","low","satisfactory","high","3","1","satisfactory","low","low","large","[12,14)","3","2","0","[6,10)","[2,3)","2","[5,9)","[3,7)","[0,1)","[3,7)"
"318","No","Non-Travel","Research & Development","Medical","Female","Research Director","Married","No","elder","high","short","1","high","satisfactory","high","3","3","unsatisfactory","high","medium","small","[18,25]","3","1","2","[13,28]","[3,6]","1","[9,40]","[7,18]","[1,15]","[7,14]"
"319","Yes","Travel_Frequently","Sales","Medical","Female","Sales Representative","Married","Yes","elder","medium","medium","2","high","satisfactory","high","3","1","satisfactory","low","medium","medium","[11,12)","3","3","2","[13,28]","[3,6]","3","[9,40]","[7,18]","[1,15]","[7,14]"
"320","No","Travel_Rarely","Research & Development","Medical","Female","Manager","Divorced","Yes","elder","medium","medium","3","low","satisfactory","low","3","4","satisfactory","high","high","medium","[14,18)","3","3","3","[13,28]","[2,3)","3","[5,9)","[0,2)","[0,1)","[2,3)"
"321","No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Married","No","mid","medium","long","3","high","unsatisfactory","low","4","2","satisfactory","low","high","medium","[14,18)","3","4","2","[10,13)","[3,6]","2","[9,40]","[7,18]","[1,15]","[7,14]"
"322","Yes","Travel_Rarely","Sales","Marketing","Female","Sales Representative","Single","Yes","elder","high","long","2","low","unsatisfactory","medium","3","1","unsatisfactory","low","high","medium","[18,25]","4","4","0","[0,6)","[3,6]","2","[3,5)","[3,7)","[0,1)","[2,3)"
"323","No","Non-Travel","Sales","Medical","Male","Sales Executive","Married","No","young","low","medium","3","low","unsatisfactory","low","3","2","satisfactory","medium","low","medium","[14,18)","3","2","0","[0,6)","[3,6]","4","[5,9)","[3,7)","[0,1)","[3,7)"
"324","No","Non-Travel","Sales","Life Sciences","Male","Sales Representative","Divorced","No","elder","medium","long","4","high","unsatisfactory","low","3","1","satisfactory","low","high","medium","[14,18)","3","2","2","[13,28]","[3,6]","2","[9,40]","[7,18]","[0,1)","[0,2)"
"325","No","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","Married","No","elder","low","short","2","high","satisfactory","low","2","2","unsatisfactory","medium","high","large","[18,25]","4","1","1","[10,13)","[3,6]","3","[3,5)","[2,3)","[1,15]","[2,3)"
"326","No","Travel_Rarely","Sales","Medical","Male","Manager","Divorced","No","elder","high","short","2","medium","satisfactory","low","3","4","satisfactory","high","medium","large","[12,14)","3","3","1","[13,28]","[3,6]","4","[9,40]","[7,18]","[1,15]","[2,3)"
"327","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Married","No","mid","low","long","2","low","unsatisfactory","medium","3","1","unsatisfactory","low","medium","large","[18,25]","4","1","0","[6,10)","[0,2)","3","[0,3)","[0,2)","[0,1)","[0,2)"
"328","No","Travel_Frequently","Sales","Life Sciences","Male","Sales Representative","Married","No","young","medium","long","3","medium","satisfactory","medium","4","1","satisfactory","low","high","small","[12,14)","3","1","1","[0,6)","[3,6]","3","[0,3)","[2,3)","[1,15]","[2,3)"
"329","No","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Divorced","No","mid","medium","short","2","medium","unsatisfactory","low","3","2","unsatisfactory","high","high","large","[14,18)","3","4","1","[10,13)","[3,6]","3","[5,9)","[7,18]","[1,15]","[7,14]"
"330","No","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Single","No","elder","low","short","3","medium","satisfactory","low","2","2","satisfactory","medium","medium","large","[14,18)","3","4","0","[13,28]","[2,3)","3","[5,9)","[0,2)","[0,1)","[3,7)"
"331","No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Divorced","Yes","mid","high","medium","3","low","satisfactory","low","4","2","unsatisfactory","medium","medium","large","[12,14)","3","1","2","[13,28]","[2,3)","3","[5,9)","[7,18]","[1,15]","[7,14]"
"332","No","Travel_Rarely","Human Resources","Technical Degree","Male","Human Resources","Divorced","Yes","elder","low","short","1","low","satisfactory","low","3","1","satisfactory","low","high","small","[11,12)","3","3","1","[0,6)","[3,6]","3","[3,5)","[2,3)","[1,15]","[0,2)"
"333","No","Non-Travel","Sales","Life Sciences","Female","Sales Executive","Divorced","Yes","mid","low","long","3","high","satisfactory","low","3","2","satisfactory","medium","medium","medium","[18,25]","4","3","1","[6,10)","[2,3)","3","[5,9)","[3,7)","[1,15]","[2,3)"
"334","No","Travel_Frequently","Research & Development","Life Sciences","Female","Manufacturing Director","Single","Yes","mid","low","short","4","medium","unsatisfactory","medium","4","2","unsatisfactory","medium","high","large","[12,14)","3","4","0","[13,28]","[2,3)","3","[9,40]","[7,18]","[1,15]","[7,14]"
"335","No","Non-Travel","Research & Development","Life Sciences","Male","Healthcare Representative","Divorced","Yes","elder","low","short","4","low","satisfactory","low","1","2","satisfactory","medium","medium","medium","[12,14)","3","4","1","[10,13)","[2,3)","3","[5,9)","[3,7)","[1,15]","[2,3)"
"336","No","Travel_Frequently","Research & Development","Life Sciences","Male","Healthcare Representative","Single","No","mid","medium","short","1","medium","unsatisfactory","low","3","2","satisfactory","high","high","small","[14,18)","3","3","0","[6,10)","[0,2)","2","[5,9)","[2,3)","[0,1)","[3,7)"
"337","No","Non-Travel","Sales","Life Sciences","Male","Sales Executive","Single","No","elder","low","long","2","low","satisfactory","medium","3","2","satisfactory","medium","medium","large","[14,18)","3","4","0","[13,28]","[3,6]","3","[9,40]","[3,7)","[1,15]","[7,14]"
"338","No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Married","No","elder","high","short","1","medium","unsatisfactory","medium","4","1","satisfactory","low","high","medium","[12,14)","3","4","1","[10,13)","[3,6]","3","[9,40]","[3,7)","[1,15]","[7,14]"
"339","No","Travel_Frequently","Research & Development","Medical","Female","Research Director","Single","No","elder","medium","medium","4","medium","unsatisfactory","high","3","3","satisfactory","high","medium","large","[14,18)","3","3","0","[13,28]","[3,6]","2","[9,40]","[7,18]","[1,15]","[7,14]"
"340","No","Travel_Frequently","Research & Development","Life Sciences","Male","Laboratory Technician","Married","No","mid","high","medium","3","low","unsatisfactory","high","4","1","unsatisfactory","low","high","medium","[18,25]","4","3","0","[0,6)","[3,6]","1","[5,9)","[0,2)","[0,1)","[3,7)"
"341","No","Travel_Rarely","Research & Development","Medical","Female","Manufacturing Director","Single","Yes","young","high","medium","4","low","satisfactory","low","3","3","satisfactory","high","high","medium","[14,18)","3","3","0","[10,13)","[2,3)","2","[9,40]","[7,18]","[1,15]","[7,14]"
"342","No","Travel_Rarely","Sales","Life Sciences","Male","Sales Representative","Single","No","young","medium","medium","1","high","satisfactory","medium","3","1","unsatisfactory","low","high","medium","[11,12)","3","1","0","[0,6)","[3,6]","3","[0,3)","[2,3)","[0,1)","[2,3)"
"343","No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","Married","No","mid","low","short","4","low","satisfactory","high","2","2","unsatisfactory","medium","high","large","[12,14)","3","2","1","[13,28]","[3,6]","3","[9,40]","[7,18]","[1,15]","[7,14]"
"344","No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","Married","No","mid","high","short","4","low","satisfactory","high","3","2","satisfactory","high","low","large","[14,18)","3","2","0","[13,28]","[3,6]","3","[0,3)","[0,2)","[0,1)","[0,2)"
"345","Yes","Travel_Rarely","Research & Development","Technical Degree","Male","Laboratory Technician","Divorced","No","young","high","long","3","high","satisfactory","low","2","1","satisfactory","low","high","large","[12,14)","3","1","1","[6,10)","[2,3)","2","[3,5)","[0,2)","[0,1)","[3,7)"
"346","No","Travel_Rarely","Sales","Medical","Female","Sales Executive","Married","No","young","high","short","2","medium","unsatisfactory","medium","3","2","satisfactory","medium","low","medium","[14,18)","3","1","1","[6,10)","[3,6]","2","[5,9)","[0,2)","[1,15]","[2,3)"
"347","No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Single","Yes","young","high","short","1","high","unsatisfactory","high","3","1","unsatisfactory","medium","medium","medium","[18,25]","3","4","0","[10,13)","[3,6]","3","[9,40]","[7,18]","[1,15]","[3,7)"
"348","No","Non-Travel","Research & Development","Medical","Male","Manufacturing Director","Married","No","young","medium","short","4","low","satisfactory","high","1","2","satisfactory","medium","low","small","[12,14)","3","4","1","[6,10)","[2,3)","3","[5,9)","[3,7)","[1,15]","[3,7)"
"349","No","Travel_Rarely","Research & Development","Life Sciences","Female","Healthcare Representative","Married","Yes","elder","medium","short","3","high","satisfactory","high","4","3","satisfactory","high","medium","medium","[18,25]","3","2","1","[6,10)","[2,3)","3","[5,9)","[7,18]","[1,15]","[7,14]"
"350","No","Non-Travel","Human Resources","Life Sciences","Male","Human Resources","Divorced","No","young","low","short","2","high","satisfactory","low","3","1","satisfactory","low","medium","medium","[14,18)","3","2","1","[0,6)","[2,3)","3","[3,5)","[2,3)","[1,15]","[2,3)"
"351","No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Single","No","elder","low","medium","3","medium","satisfactory","high","3","2","satisfactory","low","medium","medium","[14,18)","3","4","0","[13,28]","[3,6]","3","[0,3)","[2,3)","[1,15]","[2,3)"
"352","No","Non-Travel","Research & Development","Life Sciences","Female","Research Director","Divorced","No","elder","low","medium","1","medium","unsatisfactory","medium","1","5","satisfactory","high","high","medium","[18,25]","4","2","2","[13,28]","[3,6]","3","[9,40]","[7,18]","[1,15]","[7,14]"
"353","No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Married","Yes","elder","low","short","2","medium","satisfactory","low","3","2","satisfactory","medium","medium","small","[18,25]","4","1","1","[6,10)","[2,3)","3","[5,9)","[3,7)","[1,15]","[7,14]"
"354","No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Divorced","No","elder","low","short","4","low","unsatisfactory","high","3","1","unsatisfactory","low","high","large","[14,18)","3","2","1","[6,10)","[3,6]","3","[5,9)","[2,3)","[1,15]","[2,3)"
"355","No","Travel_Frequently","Sales","Life Sciences","Female","Sales Executive","Married","No","mid","high","short","3","low","satisfactory","low","4","2","unsatisfactory","medium","low","medium","[18,25]","3","1","2","[10,13)","[3,6]","3","[5,9)","[3,7)","[1,15]","[3,7)"
"356","No","Travel_Rarely","Research & Development","Medical","Male","Research Director","Married","Yes","elder","high","short","4","medium","unsatisfactory","medium","3","5","satisfactory","high","medium","medium","[11,12)","3","4","1","[10,13)","[2,3)","2","[5,9)","[0,2)","[1,15]","[7,14]"
"357","No","Travel_Rarely","Research & Development","Other","Female","Research Scientist","Single","No","young","medium","long","3","medium","satisfactory","medium","3","2","satisfactory","low","low","large","[12,14)","3","4","0","[10,13)","[3,6]","4","[5,9)","[7,18]","[1,15]","[7,14]"
"358","No","Travel_Rarely","Research & Development","Medical","Male","Healthcare Representative","Married","No","elder","high","long","4","high","unsatisfactory","low","4","3","satisfactory","high","low","large","[14,18)","3","3","0","[10,13)","[2,3)","3","[3,5)","[3,7)","[1,15]","[2,3)"
"359","No","Travel_Frequently","Research & Development","Medical","Male","Laboratory Technician","Married","No","elder","low","long","3","low","satisfactory","medium","3","1","satisfactory","low","medium","large","[18,25]","4","1","1","[6,10)","[0,2)","3","[3,5)","[2,3)","[1,15]","[2,3)"
"360","No","Non-Travel","Research & Development","Life Sciences","Male","Laboratory Technician","Married","No","mid","medium","short","3","medium","satisfactory","low","2","1","satisfactory","low","medium","medium","[18,25]","3","3","2","[0,6)","[3,6]","3","[0,3)","[0,2)","[0,1)","[0,2)"
"361","No","Non-Travel","Research & Development","Medical","Female","Manufacturing Director","Married","Yes","elder","medium","short","4","high","unsatisfactory","medium","2","4","satisfactory","high","high","large","[18,25]","4","4","3","[13,28]","[2,3)","2","[3,5)","[2,3)","[0,1)","[2,3)"
"362","No","Non-Travel","Sales","Life Sciences","Female","Sales Executive","Married","No","elder","medium","short","4","high","satisfactory","medium","3","2","satisfactory","medium","high","large","[18,25]","4","2","2","[10,13)","[3,6]","4","[5,9)","[7,18]","[1,15]","[7,14]"
"363","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Single","No","mid","low","long","4","high","unsatisfactory","low","3","2","satisfactory","medium","medium","medium","[14,18)","3","2","0","[10,13)","[2,3)","2","[9,40]","[3,7)","[0,1)","[7,14]"
"364","No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Single","No","elder","high","short","3","low","satisfactory","high","2","1","satisfactory","low","low","large","[14,18)","3","2","0","[6,10)","[3,6]","2","[0,3)","[2,3)","[1,15]","[2,3)"
"365","No","Non-Travel","Research & Development","Medical","Male","Research Scientist","Divorced","Yes","young","medium","short","2","high","satisfactory","low","3","1","unsatisfactory","low","low","medium","[12,14)","3","4","1","[0,6)","[3,6]","4","[3,5)","[2,3)","[1,15]","[3,7)"
"366","No","Travel_Rarely","Research & Development","Other","Male","Manager","Single","No","elder","high","medium","2","high","satisfactory","high","2","5","satisfactory","high","high","large","[18,25]","4","4","0","[13,28]","[2,3)","3","[0,3)","[0,2)","[0,1)","[0,2)"
"367","Yes","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Married","No","young","low","long","3","low","unsatisfactory","low","3","3","satisfactory","high","high","medium","[18,25]","4","4","3","[10,13)","[3,6]","2","[9,40]","[3,7)","[1,15]","[7,14]"
"368","No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Married","Yes","young","high","long","3","low","satisfactory","low","2","2","satisfactory","medium","high","large","[18,25]","3","3","1","[0,6)","[2,3)","2","[0,3)","[2,3)","[0,1)","[0,2)"
"369","No","Travel_Rarely","Research & Development","Other","Male","Laboratory Technician","Married","Yes","young","high","long","2","high","satisfactory","low","2","2","unsatisfactory","medium","high","large","[12,14)","3","1","1","[10,13)","[2,3)","3","[3,5)","[3,7)","[0,1)","[3,7)"
"370","No","Travel_Rarely","Research & Development","Technical Degree","Male","Research Director","Divorced","Yes","young","low","medium","1","medium","satisfactory","low","2","3","satisfactory","high","low","medium","[14,18)","3","2","1","[6,10)","[3,6]","3","[9,40]","[7,18]","[0,1)","[7,14]"
"371","Yes","Travel_Frequently","Sales","Marketing","Female","Sales Executive","Single","No","young","low","long","4","low","satisfactory","low","2","2","unsatisfactory","high","high","large","[14,18)","3","3","0","[6,10)","[3,6]","2","[5,9)","[3,7)","[0,1)","[0,2)"
"372","No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","Married","Yes","elder","high","long","3","medium","satisfactory","medium","3","4","unsatisfactory","high","medium","large","[12,14)","3","1","1","[10,13)","[0,2)","3","[9,40]","[7,18]","[1,15]","[7,14]"
"373","No","Travel_Rarely","Sales","Medical","Male","Sales Executive","Married","Yes","elder","high","short","2","low","unsatisfactory","medium","1","2","satisfactory","high","medium","medium","[18,25]","4","3","3","[6,10)","[2,3)","2","[3,5)","[3,7)","[0,1)","[2,3)"
"374","No","Travel_Rarely","Research & Development","Medical","Female","Manager","Married","No","elder","low","short","2","medium","satisfactory","medium","1","5","satisfactory","high","low","large","[14,18)","3","4","1","[13,28]","[3,6]","3","[9,40]","[7,18]","[1,15]","[7,14]"
"375","No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Divorced","No","young","medium","medium","4","medium","satisfactory","low","3","2","satisfactory","low","medium","medium","[12,14)","3","1","3","[10,13)","[3,6]","2","[9,40]","[7,18]","[1,15]","[7,14]"
"376","No","Travel_Frequently","Sales","Life Sciences","Male","Sales Executive","Married","No","mid","high","medium","1","high","unsatisfactory","medium","3","2","satisfactory","high","high","large","[12,14)","3","1","0","[6,10)","[2,3)","4","[5,9)","[3,7)","[1,15]","[2,3)"
"377","Yes","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Divorced","Yes","elder","high","short","4","medium","unsatisfactory","medium","1","1","satisfactory","low","medium","large","[12,14)","3","3","1","[10,13)","[0,2)","2","[5,9)","[7,18]","[1,15]","[0,2)"
"378","No","Travel_Rarely","Research & Development","Medical","Female","Research Director","Divorced","Yes","elder","high","medium","3","high","unsatisfactory","low","3","5","satisfactory","high","low","small","[14,18)","3","4","1","[13,28]","[3,6]","2","[9,40]","[7,18]","[1,15]","[7,14]"
"379","Yes","Travel_Rarely","Research & Development","Technical Degree","Female","Research Scientist","Married","No","young","low","long","5","low","satisfactory","medium","2","1","unsatisfactory","low","medium","large","[14,18)","3","2","0","[6,10)","[2,3)","4","[0,3)","[2,3)","[1,15]","[0,2)"
"380","No","Travel_Rarely","Sales","Medical","Female","Sales Executive","Single","No","elder","low","short","1","low","satisfactory","low","3","2","unsatisfactory","high","low","large","[18,25]","4","4","0","[13,28]","[2,3)","4","[9,40]","[7,18]","[1,15]","[7,14]"
"381","Yes","Non-Travel","Sales","Other","Male","Sales Executive","Married","No","mid","high","long","4","low","satisfactory","medium","4","2","satisfactory","medium","high","large","[12,14)","3","4","0","[6,10)","[2,3)","3","[3,5)","[2,3)","[1,15]","[2,3)"
"382","No","Non-Travel","Research & Development","Medical","Male","Laboratory Technician","Single","No","young","medium","medium","3","high","satisfactory","medium","3","1","satisfactory","low","medium","medium","[18,25]","4","3","0","[6,10)","[3,6]","3","[5,9)","[7,18]","[1,15]","[7,14]"
"383","No","Travel_Rarely","Research & Development","Medical","Female","Manufacturing Director","Single","Yes","young","medium","short","3","medium","satisfactory","low","2","2","satisfactory","high","high","large","[18,25]","4","2","0","[10,13)","[3,6]","2","[0,3)","[0,2)","[0,1)","[0,2)"
"384","No","Travel_Rarely","Research & Development","Technical Degree","Female","Healthcare Representative","Married","No","mid","low","long","4","medium","satisfactory","medium","3","3","satisfactory","high","low","large","[12,14)","3","1","0","[10,13)","[0,2)","3","[5,9)","[7,18]","[1,15]","[7,14]"
